Title,Link,Positive %,Neutral %,Negative %,,Positive %,Neutral %,Negative %,Results
Anne Hathaway,https://en.wikipedia.org/wiki/Anne_Hathaway,16.50%,77.20%,6.20%,P,18.00%,75.10%,6.90%,P
Hugh Jackman,https://en.wikipedia.org/wiki/Hugh_Jackman,15.80%,80.50%,3.80%,P,16.80%,79.20%,4.00%,P
Meryl Streep,https://en.wikipedia.org/wiki/Meryl_Streep,15.90%,77.60%,6.50%,P,16.70%,76.20%,7.10%,P
Daniel Radcliffe,https://en.wikipedia.org/wiki/Daniel_Radcliffe,12.00%,81.50%,6.50%,P,13.40%,79.60%,7.00%,P
Jessica Alba,https://en.wikipedia.org/wiki/Jessica_Alba,13.80%,79.60%,6.60%,P,14.90%,77.70%,7.30%,P
Mark Wahlberg,https://en.wikipedia.org/wiki/Mark_Wahlberg,11.20%,83.20%,5.60%,P,11.70%,81.80%,6.60%,N
Halle Berry,https://en.wikipedia.org/wiki/Halle_Berry,12.40%,81.20%,6.40%,P,13.50%,79.10%,7.40%,P
James Franco,https://en.wikipedia.org/wiki/James_Franco,12.00%,82.50%,5.50%,P,13.00%,81.10%,6.00%,P
Natalie Portman,https://en.wikipedia.org/wiki/Natalie_Portman,13.10%,81.00%,6.00%,P,14.00%,79.30%,6.70%,P
Charlize Theron,https://en.wikipedia.org/wiki/Charlize_Theron,7.90%,79.50%,12.60%,P,13.60%,77.80%,8.60%,P
Samuel L. Jackson,https://en.wikipedia.org/wiki/Samuel_L._Jackson,13.40%,79.00%,7.70%,P,14.40%,77.20%,8.40%,P
RM (musician),https://en.wikipedia.org/wiki/RM_(musician),9.90%,87.90%,2.20%,P,10.70%,86.60%,2.70%,P
Jin (singer),https://en.wikipedia.org/wiki/Jin_(singer),11.00%,"87,1%",1.90%,P,11.90%,86.10%,2.00%,P
Suga,https://en.wikipedia.org/wiki/Suga,7.80%,89.60%,2.60%,P,8.70%,88.40%,2.90%,P
J-Hope,https://en.wikipedia.org/wiki/J-Hope,7.20%,90.60%,2.20%,P,8.40%,89.10%,2.50%,P
Jimin,https://en.wikipedia.org/wiki/Jimin,7.50%,91.10%,1.30%,P,8.80%,89.60%,1.60%,P
V (singer),https://en.wikipedia.org/wiki/V_(singer),9.10%,88.70%,2.30%,P,9.90%,87.40%,2.70%,P
Jungkook,https://en.wikipedia.org/wiki/Jungkook,6.60%,92.10%,1.30%,P,7.30%,91.10%,1.50%,P
Jack Harlow,https://en.wikipedia.org/wiki/Jack_Harlow,6.90%,91.60%,1.50%,P,8.00%,90.30%,1.70%,P
Latto,https://en.wikipedia.org/wiki/Latto,10.70%,85.10%,4.20%,P,11.80%,83.30%,4.90%,P
Lil Nas X,https://en.wikipedia.org/wiki/Lil_Nas_X,9.90%,85.20%,4.90%,P,11.10%,83.60%,5.30%,N
Melanie Martinez,https://en.wikipedia.org/wiki/Melanie_Martinez,9.70%,82.30%,8.00%,P,10.70%,80.70%,8.60%,P
Lisa (rapper),https://en.wikipedia.org/wiki/Lisa_(rapper),9.80%,89.60%,0.60%,P,10.90%,88.30%,0.80%,P
Jisoo,https://en.wikipedia.org/wiki/Jisoo,8.90%,90.50%,8.90%,P,10.20%,89.20%,0.60%,P
Jennie (singer),https://en.wikipedia.org/wiki/Jennie_(singer),11.40%,86.90%,1.70%,P,12.80%,85.30%,1.90%,P
Rosé (singer),https://en.wikipedia.org/wiki/Ros%C3%A9_(singer),13.10%,85.90%,0.90%,P,14.60%,84.40%,1.00%,P
